Question ID,Question,Question Type,Ground Truth,Generated Answer,MRR,NDCG@10,Recall@10,BERTScore F1,Response Time (s)
Q001,What award did Margaret Osborne DuPont receive in 1999?,factual,The Delaware Sports Hall of Fame,Sodomized,0.0,0.0,0.0,0.4995882213115692,0.8726909160614014
Q002,What is the name of the drug that is being researched?,factual,Armesocarb,"A tenfold adult overdose of a standard adult medication would require multiple syringes and tends, therefore, to be obvious to a caregiver, effectively warning of the error. In contrast, for a small child both a 1x correct dose and a 10x overdose",0.0,0.0,0.0,0.4312582015991211,3.448322057723999
Q003,What was the highest honor given by the National Newspaper Publishers Association in 1971?,factual,NNPA Award,The text is about a weekly illustrated magazine which was published in Latvia between 1911 and 1912 and then from 1924 and 1940.,0.0,0.0,0.0,0.4316462576389313,1.691558837890625
Q004,What is Ken Bruzenak's last name?,factual,Bruzenak,"Key Club International President 1970 1971 Hollywood casting director Ricki Lake, television talk show hostess Trent Lott, former U.S. Senator Richard Lugar, former U.S. Senator Craig Melvin, broadcast journalist and news anchor Laura Marano, actress Joe Namath, professional football player Bill",0.0,0.0,0.0,0.45190712809562683,3.5524866580963135
Q005,What was the name of the company that the ceiling panel collapse occurred on?,factual,Modern Continental Construction,The purpose of Obamacare was to cause the collapse the U.S. health-care system and a recommendation that the audience start stockpiling medications and finding doctors who would work for cash ; a sympathetic discussion of the theory that low doses of radiation are beneficial to human health ; and an,0.0,0.0,0.0,0.4308149218559265,3.627378225326538
Q006,What was the role of the Vice-president of the Bar Council in India?,factual,setting up of separate bench for Southern India,"The University of the Visual and Performing Arts is a state university and depends on the government for much of its annual grant, which is provided by the University Grants Commission (UGC). Due to this, its administration is heavily influenced by the UGC.",0.0,0.0,0.0,0.478851854801178,3.138822555541992
Q007,What is the year of the text that Thomas Dastin wrote?,factual,1949,The book was printed for the first time in 1625 under the title Visio Ioannis Dastin.,1.0,1.0,1.0,0.5061171054840088,1.6398987770080566
Q008,What was Macmillan's successor?,factual,Alec Douglas-Home,"Macmillan took close control of foreign policy. He worked to narrow the post-Suez rift with the US, where his wartime friendship with Dwight D. Eisenhower was useful, and the two had a pleasant conference in Bermuda as early as March 1957. The amiable relationship",1.0,0.9937947856332161,1.0,0.42497530579566956,3.3937878608703613
Q009,What was the most important quarry in Europe?,factual,Tunstead Quarry,Great Rocks Dale,1.0,1.0,1.0,0.5595535635948181,0.6899781227111816
Q010,What did the 3rd Marine Regiment do to the Japanese?,factual,fired,Indian) (United States) soldiers from the old 12th Battalion took part in the attack.,0.0,0.0,0.0,0.5208045840263367,1.6134493350982666
